CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0002275,T,State Police,N,W,F,day,b) 10 to 15,21-25,N,Y
K0002278,T,State Police,N,W,M,day,c) 16 to 20,51-55,N,Y
K0002280,T,State Police,N,B,F,night,U,26-30,N,Y
K0002282,W,State Police,N,W,M,night,U,16-20,N,Y
K0002284,W,State Police,N,W,M,night,U,51-55,N,N
K0002285,W,State Police,N,W,M,night,U,56-60,N,Y
K0002286,T,State Police,N,W,M,day,U,76-80,Y,Y
K0002287,W,State Police,N,B,M,night,U,26-30,N,Y
K0002288,W,State Police,N,W,F,night,b) 10 to 15,21-25,Y,Y
K0002291,W,State Police,N,W,M,night,U,16-20,N,Y
K0002292,W,State Police,N,W,M,night,b) 10 to 15,21-25,Y,Y
K0002294,W,State Police,N,W,F,night,U,36-40,N,Y
K0002297,T,State Police,N,M,M,night,b) 10 to 15,41-45,N,N
K0002302,W,State Police,N,W,F,day,U,41-45,N,Y
K0002303,W,State Police,N,H,M,day,U,46-50,Y,Y
K0002304,T,State Police,N,H,M,day,U,21-25,N,Y
K0002305,W,State Police,N,W,F,day,U,16-20,Y,Y
K0002306,W,State Police,N,W,M,day,U,21-25,N,Y
K0002307,W,State Police,N,W,M,day,U,16-20,Y,Y
K0002311,W,State Police,N,H,M,day,U,21-25,N,Y
K0002313,W,State Police,N,U,U,day,U,31-35,N,Y
K0002314,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002315,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002316,T,State Police,N,W,M,day,U,21-25,N,Y
K0002317,W,State Police,N,W,M,day,U,21-25,N,Y
K0002318,T,State Police,N,W,F,day,U,21-25,N,Y
K0002320,W,State Police,N,W,M,day,U,21-25,N,Y
K0002322,W,State Police,N,W,M,day,a) less than 10,41-45,N,N
K0002323,T,State Police,N,W,M,day,b) 10 to 15,46-50,N,N
K0002324,W,State Police,N,W,F,night,a) less than 10,56-60,N,Y
K0002325,W,State Police,N,W,M,night,a) less than 10,21-25,N,N
K0002326,W,State Police,N,W,F,night,U,31-35,U,Y
K0002327,T,State Police,N,H,M,day,U,46-50,N,Y
K0002328,W,State Police,N,W,F,day,U,51-55,N,Y
K0002329,W,State Police,N,W,M,day,a) less than 10,56-60,Y,Y
K0002330,T,State Police,N,W,M,night,U,21-25,N,Y
K0002331,W,State Police,N,W,F,night,U,21-25,N,Y
K0002332,W,State Police,N,W,M,night,a) less than 10,41-45,N,N
K0002333,W,State Police,N,W,M,day,U,46-50,Y,Y
K0002335,W,State Police,N,W,M,day,U,36-40,N,Y
K0002337,T,State Police,N,W,M,day,U,36-40,N,Y
K0002338,W,State Police,N,W,M,day,U,46-50,N,Y
K0002339,T,State Police,N,W,M,day,U,31-35,Y,Y
K0002340,T,State Police,N,H,F,day,b) 10 to 15,26-30,N,Y
K0002341,W,State Police,N,W,F,day,U,51-55,N,Y
K0002342,W,State Police,N,W,M,day,U,21-25,N,N
K0002344,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0002345,W,State Police,N,W,M,day,U,31-35,N,N
K0002346,W,State Police,N,W,M,night,U,46-50,N,Y
K0002347,W,State Police,N,W,M,night,U,21-25,N,Y
K0002348,W,State Police,N,W,M,night,U,21-25,N,Y
K0002349,T,State Police,N,B,M,day,d) more than 20,26-30,N,Y
K0002351,T,State Police,N,W,M,night,b) 10 to 15,46-50,N,Y
K0002352,W,State Police,N,W,F,night,U,16-20,N,Y
K0002353,W,State Police,N,W,M,night,U,36-40,N,Y
K0002355,W,State Police,N,W,F,night,U,16-20,Y,Y
K0002356,W,State Police,N,B,M,night,U,21-25,N,N
K0002359,W,State Police,N,W,M,day,U,36-40,N,Y
K0002362,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0002368,T,State Police,N,H,M,day,U,26-30,Y,Y
K0002373,T,State Police,N,W,F,day,U,51-55,N,Y
K0002379,T,State Police,N,W,F,day,U,41-45,N,Y
K0002380,T,State Police,N,W,M,day,U,26-30,Y,Y
K0002381,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0002384,T,State Police,N,M,M,day,b) 10 to 15,36-40,U,N
K0002385,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0002386,T,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0002389,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0002402,T,State Police,N,A,F,day,U,26-30,N,N
K0002442,T,State Police,N,H,M,night,c) 16 to 20,21-25,N,Y
K0002444,W,State Police,N,W,M,night,b) 10 to 15,51-55,N,Y
K0002445,T,State Police,N,W,M,night,c) 16 to 20,26-30,N,Y
K0002446,W,State Police,N,W,M,night,U,31-35,N,Y
K0002447,W,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0002448,W,State Police,N,W,M,night,b) 10 to 15,41-45,N,N
K0002449,W,State Police,N,W,M,night,b) 10 to 15,36-40,Y,Y
K0002450,W,State Police,N,B,M,night,b) 10 to 15,41-45,N,Y
K0002451,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0002452,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0002453,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,N
K0002454,W,State Police,N,W,M,day,b) 10 to 15,56-60,N,Y
K0002456,W,State Police,N,W,M,day,b) 10 to 15,16-20,N,Y
K0002474,T,State Police,N,W,M,day,U,41-45,N,Y
K0002478,T,State Police,N,W,F,night,U,21-25,N,Y
K0002502,T,State Police,N,W,M,day,a) less than 10,26-30,N,N
K0002508,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002511,T,State Police,N,W,M,day,c) 16 to 20,41-45,N,Y
K0002517,T,State Police,N,W,F,day,b) 10 to 15,16-20,N,Y
K0002518,T,State Police,N,W,F,day,d) more than 20,36-40,N,N
K0002519,T,State Police,N,W,F,day,b) 10 to 15,46-50,N,Y
K0002520,W,State Police,N,W,F,day,a) less than 10,56-60,N,N
K0002521,T,State Police,N,W,F,night,U,46-50,N,Y
K0002523,T,State Police,N,B,M,night,U,21-25,N,Y
K0002526,T,State Police,N,W,F,day,c) 16 to 20,36-40,N,Y
K0002528,T,State Police,N,H,M,day,c) 16 to 20,46-50,N,Y
K0002537,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,N
K0002540,T,State Police,N,H,M,night,c) 16 to 20,26-30,U,Y
K0002541,T,State Police,N,W,M,night,U,26-30,N,Y
K0002542,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0002545,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0002546,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0002548,T,State Police,N,W,M,night,b) 10 to 15,36-40,U,N
K0002549,T,State Police,N,W,M,night,b) 10 to 15,16-20,N,Y
K0002550,T,State Police,N,W,M,night,b) 10 to 15,21-25,Y,Y
K0002551,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,N
K0002552,T,State Police,N,W,F,night,b) 10 to 15,36-40,N,N
K0002553,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0002554,T,State Police,N,W,F,night,b) 10 to 15,21-25,Y,Y
K0002557,T,State Police,N,H,F,night,U,21-25,N,Y
K0002558,T,State Police,N,W,F,night,b) 10 to 15,21-25,N,N
K0002559,T,State Police,N,W,F,night,b) 10 to 15,16-20,N,Y
K0002560,T,State Police,N,W,F,night,b) 10 to 15,31-35,N,Y
